"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"Chms Goal","=""0173411""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,11
,,"Northeast MS/Extended Resource","=""0172711""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,6
,,"Northeast Middle School","=""0175211""",0,0,0,0,0,0,0,159,161,170,0,0,0,0,490
,,"Greene-Hills GOAL","=""0170911""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,7
,,"Northeast MS/GOAL","=""0172811""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,"*"
,,"Bristol Central High School","=""0176111""",0,0,0,0,0,0,0,0,0,0,317,277,275,284,1153
,,"Bristol Eastern High School","=""0176211""",0,0,0,0,0,0,0,0,0,0,274,282,254,255,1065
,,"Bristol Preparatory Academy","=""0173311""",0,0,0,0,0,0,0,0,0,0,"*",11,"*",12,37
,,"ACCESS","=""0170211""",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
,,"Community/Vocational Program","=""0179211""",0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",44,153,157,0,0,0,0,0,0,0,0,0,0,0,354
,,"Huckleberry Hill Elementary School","=""0180411""",0,0,0,178,182,171,0,0,0,0,0,0,0,0,531
,,"Whisconier Middle School","=""0185311""",0,0,0,0,0,0,184,213,244,213,0,0,0,0,854
,,"Brookfield High School","=""0186111""",0,0,0,0,0,0,0,0,0,0,234,229,208,209,880
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",117,96,82,79,91,83,0,0,0,0,0,0,0,0,548
,,"Brooklyn Middle School","=""0195111""",0,0,0,0,0,0,95,66,88,113,0,0,0,0,362
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",49,48,53,47,43,46,0,0,0,0,0,0,0,0,286
,,"Dr. Helen Baldwin Middle School","=""0225111""",0,0,0,0,0,0,46,42,39,52,0,0,0,0,179
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",25,101,110,102,119,0,0,0,0,0,0,0,0,0,457
,,"Canton Intermediate School","=""0230311""",0,0,0,0,0,115,112,125,0,0,0,0,0,0,352
,,"Canton Middle School","=""0235111""",0,0,0,0,0,0,0,0,128,127,0,0,0,0,255
,,"Canton High School","=""0236111""",0,0,0,0,0,0,0,0,0,0,123,133,112,115,483
,,"Canton Academy","=""0230411""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",80,67,68,68,68,66,84,0,0,0,0,0,0,0,501
,,"Ana Grace Academy of the Arts Elementary School","=""2410614""",79,65,67,68,67,66,66,0,0,0,0,0,0,0,478
,,"Discovery Academy","=""2418114""",121,69,68,68,69,62,62,0,0,0,0,0,0,0,519
,,"Glastonbury/East Hartford Magnet School","=""2410114""",60,66,67,66,66,66,65,0,0,0,0,0,0,0,456
,,"International Magnet School for Global Citizenship","=""2410414""",100,68,67,64,67,64,47,0,0,0,0,0,0,0,477
,,"Montessori Magnet School","=""2413114""",88,42,51,42,37,45,46,6,0,0,0,0,0,0,357
,,"Museum Academy","=""2410514""",120,67,69,69,71,61,64,0,0,0,0,0,0,0,521
,,"Reggio Magnet School of the Arts","=""2410314""",120,67,71,68,66,63,66,0,0,0,0,0,0,0,521
,,"River Street School Early Learning Center","=""2411414""",8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,,"Soundbridge","=""2419114""",18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,,"University of Hartford Magnet School","=""2410214""",79,67,67,66,66,66,65,0,0,0,0,0,0,0,476
,,"River Street School Birken Campus","=""2419514""",0,0,7,"*",9,6,6,7,"*",6,"*","*","*",0,52
,,"Soundbridge@Mountain View Elementary School","=""2411714""",0,0,"*","*","*",0,0,0,0,0,0,0,0,0,10
,,"John J. Allison Polaris Center","=""2419014""",0,0,0,"*",0,0,0,0,0,"*",13,12,10,6,44
,,"River Street School","=""2419314""",0,0,0,0,"*","*","*","*",9,6,9,21,11,48,117
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,0,0,0,0,"*",0,0,0,"*","*","*","*",7
,,"Academy of Aerospace and Engineering","=""2415114""",0,0,0,0,0,0,0,119,116,118,134,106,112,81,786
,,"Academy of Science and Innovation","=""2416514""",0,0,0,0,0,0,0,134,68,101,115,101,130,152,801
,,"Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,0,0,0,0,0,0,125,109,101,0,0,0,0,335
,,"Metropolitan Learning Center for Global and International Studies","=""2416114""",0,0,0,0,0,0,0,121,114,117,111,78,81,88,710
,,"Two Rivers Magnet Middle School","=""2415014""",0,0,0,0,0,0,0,224,226,216,0,0,0,0,666
,,"Soundbridge @ Chippens Hill MS Bristol","=""2411514""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,"*"
,,"Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",0,0,0,0,0,0,0,0,0,0,118,109,113,102,442
,,"IPM @ Plainville High School","=""2419414""",0,0,0,0,0,0,0,0,0,0,"*",0,0,"*","*"
,,"PSA Civic Leadership High School","=""2415214""",0,0,0,0,0,0,0,0,0,0,125,77,79,63,344
,,"Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,0,0,0,0,0,0,0,0,"*","*",0,7
,,"Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",21,15,20,17,26,22,10,23,0,0,0,0,0,0,154
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",100,78,0,0,0,0,0,0,0,0,0,0,0,0,178
,,"Highland School","=""0250411""",0,86,104,97,111,115,105,125,0,0,0,0,0,0,743
,,"Chapman School","=""0250111""",0,35,49,40,43,42,52,51,0,0,0,0,0,0,312
,,"Norton School","=""0250511""",0,70,45,59,64,49,65,73,0,0,0,0,0,0,425
,,"Doolittle School","=""0250611""",0,0,78,66,74,78,68,80,0,0,0,0,0,0,444
,,"Dodd Middle School","=""0255111""",0,0,0,0,0,0,0,0,313,369,0,0,0,0,682
,,"Cheshire High School","=""0256111""",0,0,0,0,0,0,0,0,0,0,382,360,343,365,1450
,,"Humiston Alternative School","=""0250911""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",17
,,"Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
,,"QU College Life","=""0251011""",0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","*",106,101,96,108,"*",0,0,0,0,0,0,0,0,472
,,"Abraham Pierson School","=""0270111""",0,0,0,0,0,111,140,0,0,0,0,0,0,0,251
,,"Jared Eliot School","=""0275111""",0,0,0,0,0,0,"*","*",136,166,0,0,0,0,438
,,"The Morgan School","=""0276111""",0,0,0,0,0,0,0,0,0,0,138,144,162,138,582
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",97,127,160,149,0,0,0,0,0,0,0,0,0,0,533
,,"Jack Jackter Intermediate School","=""0280211""",0,0,0,0,151,161,170,0,0,0,0,0,0,0,482
,,"William J. Johnston Middle School","=""0285111""",0,0,0,0,0,0,0,167,164,189,0,0,0,0,520
,,"Bacon Academy","=""0286111""",0,0,0,0,0,0,0,0,0,0,195,209,173,182,759
,,"School Resilience Program","=""0280611""",0,0,0,0,0,0,0,0,0,0,"*",0,"*","*",7
,,"Bacon Academy Alternative Education","=""0280511""",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",38,45,50,45,36,32,43,47,41,56,0,0,0,0,433
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","*","*",7,"*","*","*",10,8,6,"*",0,0,0,0,49
,,"School Readiness","=""2438014""",81,0,0,0,0,0,0,0,0,0,0,0,0,0,81
,,"Six-Six Magnet School","=""2430114""",80,44,40,39,57,37,40,38,47,33,0,0,0,0,455
,,"Therapeutic Day Program","=""2439414""",0,0,"*","*",8,8,16,10,14,15,22,12,17,21,152
,,"Developmental Learning Center (DLC)","=""2439214""",0,0,0,0,0,0,0,0,"*","*",14,14,10,10,60
,,"RISE Transitional Program","=""2439314""",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
,,"Transition Learning Center","=""2430214""",0,0,0,0,0,0,0,0,0,0,0,0,0,32,32
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",98,0,0,0,0,0,0,0,0,0,0,0,0,0,98
,,"Coventry Grammar School","=""0320211""",0,102,122,125,0,0,0,0,0,0,0,0,0,0,349
