"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"Worthington Hooker School","=""0933811""",0,49,47,53,48,54,47,51,54,50,0,0,0,0,453
,,"Clinton Self Contained ID","=""0937811""",0,0,"*","*","*","*","*",0,"*","*",0,0,0,0,14
,,"Fair Haven Self Contained ID","=""0938711""",0,0,"*","*",0,"*","*","*","*","*",0,0,0,0,13
,,"Nathan Hale Self Contained ID","=""0937711""",0,0,"*",0,"*","*","*","*","*",0,0,0,0,0,10
,,"West Rock Self Contained Autism","=""0938411""",0,0,"*","*","*","*",0,0,0,0,0,0,0,0,11
,,"Wexler Grant Self Contained","=""0938611""",0,0,"*","*","*",0,"*",0,0,0,0,0,0,0,8
,,"Celentano Self Contained ID","=""0937411""",0,0,0,"*","*","*","*","*","*","*",0,0,0,0,12
,,"Betsy Ross Arts Magnet School","=""0935511""",0,0,0,0,0,0,74,125,127,122,0,0,0,0,448
,,"Engineering - Science University Magnet School","=""0931711""",0,0,0,0,0,0,0,84,88,89,92,88,87,73,601
,,"Cooperative High School - Inter-District Magnet","=""0936411""",0,0,0,0,0,0,0,0,0,0,164,162,168,136,630
,,"Gateway to College Program","=""0930110""",0,0,0,0,0,0,0,0,0,0,"*","*",16,15,47
,,"High School In The Community","=""0936611""",0,0,0,0,0,0,0,0,0,0,70,60,63,46,239
,,"Hill Regional Career High School","=""0936311""",0,0,0,0,0,0,0,0,0,0,173,185,157,185,700
,,"James Hillhouse High School","=""0936211""",0,0,0,0,0,0,0,0,0,0,312,257,196,181,946
,,"James Hillhouse Self Contained MD","=""0930210""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",9
,,"Metropolitan Business Academy","=""0936011""",0,0,0,0,0,0,0,0,0,0,91,118,104,97,410
,,"New Haven Academy","=""0937011""",0,0,0,0,0,0,0,0,0,0,91,89,69,55,304
,,"Riverside Education Academy","=""0939111""",0,0,0,0,0,0,0,0,0,0,23,34,40,28,125
,,"Sound School","=""0936711""",0,0,0,0,0,0,0,0,0,0,92,67,86,73,318
,,"Wilbur Cross High School","=""0936111""",0,0,0,0,0,0,0,0,0,0,441,433,337,383,1594
,,"Wilbur Cross Self Contained MD","=""0938511""",0,0,0,0,0,0,0,0,0,0,7,"*","*",7,20
,,"Off-Campus Classroom Program (OCC)","=""0937311""",0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
"New London School District","=""0950011""","C.B. Jennings Dual Language & International Elementary Magnet","=""0950311""",12,62,70,93,72,74,97,0,0,0,0,0,0,0,480
,,"Harbor","=""0950611""",19,40,50,55,45,36,16,0,0,0,0,0,0,0,261
,,"Pre-Kindergarten at Winthrop","=""0950711""","*",0,0,0,0,0,0,0,0,0,0,0,0,0,"*"
,,"Nathan Hale Arts Magnet School","=""0950911""",0,80,88,89,90,100,99,0,0,0,0,0,0,0,546
,,"Winthrop STEM Elementary Magnet School","=""0950811""",0,79,94,92,88,85,78,0,0,0,0,0,0,0,516
,,"Bennie Dover Jackson Middle School","=""0955111""",0,0,0,0,0,0,0,82,88,107,0,0,0,0,277
,,"New London Visual and Performing Arts Magnet School","=""0951411""",0,0,0,0,0,0,0,64,63,52,25,0,0,0,204
,,"Science and Technology Magnet School of Southeastern Connecticut","=""0951311""",0,0,0,0,0,0,0,83,73,62,95,96,79,76,564
,,"New London High School","=""0956111""",0,0,0,0,0,0,0,0,0,0,175,166,150,168,659
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",44,99,102,130,0,0,0,0,0,0,0,0,0,0,375
,,"Northville Elementary School","=""0960811""",45,143,131,140,0,0,0,0,0,0,0,0,0,0,459
,,"Sarah Noble Intermediate School","=""0960911""",0,0,0,0,260,268,288,0,0,0,0,0,0,0,816
,,"Schaghticoke Middle School","=""0965211""",0,0,0,0,0,0,0,323,323,345,0,0,0,0,991
,,"New Milford High School","=""0966111""",0,0,0,0,0,0,0,0,0,0,346,346,349,287,1328
,,"Litchfield Hills Transition Center","=""0969011""",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",21,74,70,81,95,78,0,0,0,0,0,0,0,0,419
,,"Elizabeth Green School","=""0940211""",6,46,60,56,53,64,0,0,0,0,0,0,0,0,285
,,"John Paterson School","=""0940811""",29,74,59,67,67,82,0,0,0,0,0,0,0,0,378
,,"Ruth Chaffee School","=""0940711""","*","*",59,78,61,67,0,0,0,0,0,0,0,0,322
,,"John Wallace Middle School","=""0945311""",0,0,0,0,0,0,160,165,178,168,0,0,0,0,671
,,"Martin Kellogg Middle School","=""0945111""",0,0,0,0,0,0,155,171,160,160,0,0,0,0,646
,,"Newington High School","=""0946111""",0,0,0,0,0,0,0,0,0,0,339,325,315,331,1310
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",70,0,0,0,0,0,0,0,0,0,0,0,0,0,70
,,"Hawley Elementary School","=""0970111""",0,60,58,57,71,64,0,0,0,0,0,0,0,0,310
,,"Head O'Meadow Elementary School","=""0970411""",0,64,57,44,65,53,0,0,0,0,0,0,0,0,283
,,"Middle Gate Elementary School","=""0970311""",0,61,67,76,72,85,0,0,0,0,0,0,0,0,361
,,"Sandy Hook Elementary School","=""0970211""",0,62,75,73,78,76,0,0,0,0,0,0,0,0,364
,,"Reed Intermediate School","=""0970511""",0,0,0,0,0,0,285,339,0,0,0,0,0,0,624
,,"Newtown Middle School","=""0975111""",0,0,0,0,0,0,0,0,337,344,0,0,0,0,681
,,"Newtown High School","=""0976111""",0,0,0,0,0,0,0,0,0,0,360,382,426,407,1575
,,"Newtown Community Partnership","=""0970611""",0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",8,10,9,12,15,12,15,14,0,0,0,0,0,0,95
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",31,103,111,123,0,0,0,0,0,0,0,0,0,0,368
,,"Totoket Valley Elementary School","=""0990611""",0,0,0,0,120,151,129,0,0,0,0,0,0,0,400
,,"North Branford Intermediate School","=""0995111""",0,0,0,0,0,0,0,125,139,151,0,0,0,0,415
,,"North Branford High School","=""0996111""",0,0,0,0,0,0,0,0,0,0,129,145,138,132,544
,,"School to Work Program","=""0999011""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",6,31,27,37,22,18,28,38,20,28,0,0,0,0,255
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""","*",55,64,63,51,"*",52,0,0,0,0,0,0,0,334
,,"Green Acres Elementary School","=""1010711""",48,48,62,60,52,61,49,0,0,0,0,0,0,0,380
,,"Montowese Elementary School","=""1010211""","*",36,52,47,39,"*",55,0,0,0,0,0,0,0,266
,,"Ridge Road Elementary School","=""1010311""",6,53,55,60,66,79,69,0,0,0,0,0,0,0,388
,,"North Haven Middle School","=""1015211""",0,0,0,0,0,0,0,262,233,236,0,0,0,0,731
,,"North Haven High School","=""1016111""",0,0,0,0,0,0,0,0,0,0,278,242,260,254,1034
,,"North Haven Transition Partnership","=""1010111""",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",36,53,54,50,57,62,57,0,0,0,0,0,0,0,369
,,"Wheeler High School","=""1026111""",0,0,0,0,0,0,0,62,48,61,47,42,49,46,355
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",20,61,74,55,68,77,69,0,0,0,0,0,0,0,424
,,"Fox Run Elementary School","=""1032011""",20,74,63,73,56,62,70,0,0,0,0,0,0,0,418
,,"Naramake Elementary School","=""1032111""",18,55,57,48,66,59,60,0,0,0,0,0,0,0,363
,,"Norwalk Early Childhood Center","=""1030111""",163,0,0,0,0,0,0,0,0,0,0,0,0,0,163
,,"Tracey School","=""1031411""",17,77,61,61,69,60,70,0,0,0,0,0,0,0,415
,,"Columbus Magnet School","=""1030311""",0,44,43,42,65,62,63,17,15,0,0,0,0,0,351
,,"Cranbury Elementary School","=""1030411""",0,80,79,70,74,67,60,0,0,0,0,0,0,0,430
,,"Jefferson Magnet School","=""1030711""",0,66,74,91,91,93,100,0,0,0,0,0,0,0,515
,,"Kendall Elementary School","=""1030811""",0,74,65,72,95,88,90,0,0,0,0,0,0,0,484
,,"Marvin Elementary School","=""1032211""",0,73,74,61,62,82,66,0,0,0,0,0,0,0,418
,,"Rowayton School","=""1031311""",0,101,87,67,87,89,58,0,0,0,0,0,0,0,489
,,"Silvermine Elementary School","=""1032311""",0,88,83,77,74,94,77,0,0,0,0,0,0,0,493
,,"Wolfpit School","=""1032411""",0,48,54,62,40,58,61,0,0,0,0,0,0,0,323
,,"Nathan Hale Middle School","=""1035211""",0,0,0,0,0,0,0,211,220,217,0,0,0,0,648
,,"Ponus Ridge Middle School","=""1035311""",0,0,0,0,0,0,0,202,231,249,0,0,0,0,682
,,"Roton Middle School","=""1035511""",0,0,0,0,0,0,0,187,203,159,0,0,0,0,549
,,"West Rocks Middle School","=""1035411""",0,0,0,0,0,0,0,248,211,216,0,0,0,0,675
,,"Brien McMahon High School","=""1036211""",0,0,0,0,0,0,0,0,0,0,416,449,359,338,1562
,,"Center for Global Studies","=""1030511""",0,0,0,0,0,0,0,0,0,0,80,69,58,74,281
,,"Norwalk High School","=""1036111""",0,0,0,0,0,0,0,0,0,0,508,452,379,383,1722
,,"Norwalk 18-21 Transition Program","=""1030611""",0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",175,0,0,0,0,0,0,0,0,0,0,0,0,0,175
,,"Case Street Early Learning Center at DTZ","=""1040211""",60,0,0,0,0,0,0,0,0,0,0,0,0,0,60
,,"Special Needs Program @ Mahan","=""1040511""","*","*",0,"*","*","*","*",0,0,0,0,0,0,0,12
,,"Thomas W. Mahan School","=""1041711""",11,33,45,34,35,35,43,0,0,0,0,0,0,0,236
,,"John B. Stanton School","=""1041411""",0,47,56,57,47,44,68,0,0,0,0,0,0,0,319
,,"Moriarty Magnet School","=""1042011""",0,64,65,63,72,74,75,0,0,0,0,0,0,0,413
,,"Samuel Huntington School","=""1040811""",0,69,63,61,59,64,56,0,0,0,0,0,0,0,372
,,"Stanton Special Learning Center","=""1040911""",0,"*",0,"*","*","*",0,0,0,0,0,0,0,0,6
,,"Strive Autism Program @ Huntington","=""1040411""",0,6,"*",7,"*",0,"*",0,0,0,0,0,0,0,21
,,"Strive Program @ Stanton","=""1041211""",0,"*","*",0,0,0,0,0,0,0,0,0,0,0,6
,,"Uncas Network School","=""1041911""",0,49,45,51,49,32,40,0,0,0,0,0,0,0,266
,,"Veterans' Memorial School","=""1041811""",0,46,54,49,52,47,50,0,0,0,0,0,0,0,298
,,"Wequonnoc Magnet School","=""1041511""",0,45,43,39,43,44,45,0,0,0,0,0,0,0,259
,,"Kelly STEAM Magnet Middle School","=""1045111""",0,0,0,0,0,0,0,224,191,216,0,0,0,0,631
,,"Strive Program @ Kelly","=""1041111""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,10
,,"Teachers' Memorial Global Studies Magnet Middle School","=""1045211""",0,0,0,0,0,0,0,135,130,120,0,0,0,0,385
,,"Virtual Learning Academy","=""1049211""",0,0,0,0,0,0,0,0,0,0,"*","*","*",9,19
,,"Transition Academy","=""1041011""",0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","*",68,60,69,71,0,"*",0,0,0,0,0,0,0,317
,,"Old Saybrook Middle School","=""1065211""",0,0,0,0,0,102,74,86,99,97,0,0,0,0,458
,,"Old Saybrook Senior High School","=""1066111""",0,0,0,0,0,0,0,0,0,0,93,104,129,111,437
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""",42,149,0,0,0,0,0,0,0,0,0,0,0,0,191
,,"Peck Place School","=""1070511""",0,0,54,52,51,64,52,67,0,0,0,0,0,0,340
,,"Race Brook School","=""1070311""",0,0,60,65,52,60,57,62,0,0,0,0,0,0,356
,,"Turkey Hill School","=""1070411""",0,0,40,50,49,51,52,51,0,0,0,0,0,0,293
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""","*",106,112,127,"*",0,0,0,0,0,0,0,0,0,365
,,"Oxford Center School","=""1080111""",0,0,0,0,126,127,133,0,0,0,0,0,0,0,386
,,"Great Oak Middle School","=""1085111""",0,0,0,0,0,0,0,152,157,174,0,0,0,0,483
,,"Oxford High School","=""1086011""",0,0,0,0,0,0,0,0,0,0,120,134,136,159,549
,,"Alternative Education","=""1080411""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",6
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""",18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,,"Shepard Hill Elementary School","=""1090411""",110,64,96,78,72,0,0,0,0,0,0,0,0,0,420
,,"Moosup Elementary School","=""1090111""",0,68,76,80,77,0,0,0,0,0,0,0,0,0,301
,,"Plainfield Memorial School","=""1090311""",0,0,0,0,0,147,167,0,0,0,0,0,0,0,314
,,"Plainfield Central School","=""1095111""",0,0,0,0,0,0,0,173,170,168,0,0,0,0,511
,,"Plainfield High School","=""1096111""",0,0,0,0,0,0,0,0,0,0,125,159,174,167,625
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",26,46,36,55,52,49,47,0,0,0,0,0,0,0,311
,,"Linden Street School","=""1100211""",44,60,57,58,61,57,66,0,0,0,0,0,0,0,403
,,"Louis Toffolon School","=""1100511""",30,73,38,75,55,56,66,0,0,0,0,0,0,0,393
,,"Middle School of Plainville","=""1105211""",0,0,0,0,0,0,0,164,175,184,0,0,0,0,523
,,"Plainville High School","=""1106111""",0,0,0,0,0,0,0,0,0,0,192,175,161,173,701
,,"Plainville Transition Program","=""1100111""",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",71,37,51,27,33,44,51,0,0,0,0,0,0,0,314
,,"Harry S. Fisher Elementary School","=""1110411""",0,54,48,55,57,54,69,0,0,0,0,0,0,0,337
,,"Eli Terry Jr. Middle School","=""1115111""",0,0,0,0,0,0,0,105,137,112,0,0,0,0,354
,,"Terryville High School","=""1116111""",0,0,0,0,0,0,0,0,0,0,93,94,104,123,414
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",20,38,29,28,45,39,40,46,42,52,0,0,0,0,379
"Portland School District","=""1130011""","Valley View School","=""1130211""",26,93,92,0,0,0,0,0,0,0,0,0,0,0,211
,,"Gildersleeve School","=""1130411""",0,0,0,97,105,91,0,0,0,0,0,0,0,0,293
,,"Brownstone Intermediate School","=""1130511""",0,0,0,0,0,0,104,110,0,0,0,0,0,0,214
,,"Portland Middle School","=""1135111""",0,0,0,0,0,0,0,0,91,114,0,0,0,0,205
,,"Portland High School","=""1136111""",0,0,0,0,0,0,0,0,0,0,95,98,91,107,391
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",35,46,46,39,42,40,47,0,0,0,0,0,0,0,295
,,"Preston Plains School","=""1145111""",0,0,0,0,0,0,0,53,44,48,0,0,0,0,145
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",97,108,94,87,77,80,100,0,0,0,0,0,0,0,643
,,"Putnam Middle School","=""1165111""",0,0,0,0,0,0,0,90,83,105,0,0,0,0,278
,,"Putnam High School","=""1166111""",0,0,0,0,0,0,0,0,0,0,61,65,62,86,274
,,"Helping Hands","=""1169011""",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",56,76,87,95,68,83,0,0,0,0,0,0,0,0,465
,,"John Read Middle School","=""1175111""",0,0,0,0,0,0,87,103,92,107,0,0,0,0,389
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""","*",0,"*","*",0,0,0,0,0,0,0,0,0,0,"*"
,,"SELC","=""2010312""",0,0,0,0,0,"*",0,"*","*","*",0,0,0,0,"*"
,,"Mountaineer Academy","=""2010612""",0,0,0,0,0,0,0,0,0,"*",0,0,0,0,"*"
,,"Housatonic Valley Regional High School","=""2016112""",0,0,0,0,0,0,0,0,0,0,87,86,94,112,379
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",29,26,27,18,19,27,18,29,0,0,0,0,0,0,193
,,"James Morris School","=""2060212""",20,16,13,15,19,20,12,17,0,0,0,0,0,0,132
,,"Warren Elementary School","=""2060312""",9,11,9,8,10,7,14,8,0,0,0,0,0,0,76
,,"Wamogo Regional High School","=""2066112""",0,0,0,0,0,0,0,0,40,62,107,96,111,93,509
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",22,61,72,72,61,60,0,0,0,0,0,0,0,0,348
,,"Lake Garda Elementary School","=""2100212""",23,69,80,78,88,83,0,0,0,0,0,0,0,0,421
,,"Har-Bur Middle School","=""2105112""",0,0,0,0,0,0,185,190,177,182,0,0,0,0,734
,,"Lewis S. Mills High School","=""2106112""",0,0,0,0,0,0,0,0,0,0,195,201,165,196,757
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",41,12,15,14,17,19,22,0,0,0,0,0,0,0,140
,,"Booth Free School","=""2120212""",0,14,7,15,9,14,12,0,0,0,0,0,0,0,71
,,"The Burnham School","=""2120112""",0,9,15,"*",10,9,"*",0,0,0,0,0,0,0,53
,,"Shepaug Valley School","=""2120312""",0,0,0,0,0,0,0,49,60,49,54,64,72,69,417
,,"Shepaug Valley Partnership","=""2120512""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""",28,65,58,60,50,0,0,0,0,0,0,0,0,0,261
,,"John Lyman School","=""2130512""",0,41,41,54,51,47,0,0,0,0,0,0,0,0,234
,,"Middlefield Memorial School","=""2130412""",0,0,0,0,0,61,107,144,0,0,0,0,0,0,312
,,"Frank Ward Strong School","=""2135112""",0,0,0,0,0,0,0,0,117,148,0,0,0,0,265
,,"Coginchaug Regional High School","=""2136112""",0,0,0,0,0,0,0,0,0,0,114,136,128,137,515
,,"Middlesex Transition Academy","=""2130312""",0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",10,37,40,44,42,46,49,0,0,0,0,0,0,0,268
,,"Mitchell Elementary School","=""2140212""",10,42,58,56,61,58,67,0,0,0,0,0,0,0,352
,,"Woodbury Middle School","=""2145112""",0,0,0,0,0,0,0,93,109,135,0,0,0,0,337
,,"Nonnewaug High School","=""2146112""",0,0,0,0,0,0,0,0,0,0,182,169,144,193,688
,,"Region 14 Transition Academy","=""2140412""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",60,73,70,69,76,81,86,0,0,0,0,0,0,0,515
,,"Middlebury Elementary School","=""2150612""","*",54,49,"*",51,48,59,0,0,0,0,0,0,0,302
,,"Gainfield Elementary School","=""2150412""",0,62,52,56,63,54,53,0,0,0,0,0,0,0,340
,,"Pomperaug School","=""2150512""",0,76,52,51,51,59,69,0,0,0,0,0,0,0,358
,,"Memorial Middle School","=""2155212""",0,0,0,0,0,0,0,142,141,155,0,0,0,0,438
,,"Rochambeau Middle School","=""2155112""",0,0,0,0,0,0,0,133,150,146,0,0,0,0,429
,,"Pomperaug Regional High School","=""2156212""",0,0,0,0,0,0,0,0,0,0,299,281,321,306,1207
,,"MIJ Program","=""2150112""",0,0,0,0,0,0,0,0,0,0,0,"*","*",10,13
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",44,91,93,96,96,88,97,0,0,0,0,0,0,0,605
,,"Laurel Ledge School","=""2160112""",0,48,49,33,56,52,58,0,0,0,0,0,0,0,296
,,"Long River Middle School","=""2165112""",0,0,0,0,0,0,0,180,172,186,0,0,0,0,538
,,"WRHS Alternative Education Program","=""2160412""",0,0,0,0,0,0,0,0,0,0,"*","*","*",6,10
,,"Woodland Regional High School","=""2166012""",0,0,0,0,0,0,0,0,0,0,183,155,168,169,675
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""",44,41,34,48,36,54,0,0,0,0,0,0,0,0,257
,,"Haddam Elementary School","=""2170112""",0,29,46,32,32,37,0,0,0,0,0,0,0,0,176
,,"Killingworth Elementary School","=""2170312""",0,56,51,59,49,50,0,0,0,0,0,0,0,0,265
,,"Haddam-Killingworth Middle School","=""2175112""",0,0,0,0,0,0,159,151,176,185,0,0,0,0,671
,,"Haddam-Killingworth High School","=""2176112""",0,0,0,0,0,0,0,0,0,0,142,181,161,160,644
,,"RSD17 Transition Program","=""2170412""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Regional School District 18","=""2180012""","Center School","=""2180312""",49,0,0,0,0,0,0,0,0,0,0,0,0,0,49
,,"Lyme Consolidated School","=""2180112""",0,29,29,33,37,44,33,0,0,0,0,0,0,0,205
,,"Mile Creek School","=""2180212""",0,37,49,34,41,40,50,0,0,0,0,0,0,0,251
,,"Lyme-Old Lyme Middle School","=""2185112""",0,0,0,0,0,0,0,89,87,102,0,0,0,0,278
,,"Lyme-Old Lyme High School","=""2186112""",0,0,0,0,0,0,0,0,0,0,122,112,125,112,471
,,"Alternative Program","=""2180412""",0,0,0,0,0,0,0,0,0,0,0,"*",0,"*","*"
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""",49,61,46,54,47,57,59,0,0,0,0,0,0,0,373
,,"Branchville Elementary School","=""1180611""","*","*",60,60,55,71,63,0,0,0,0,0,0,0,360
,,"Ridgebury Elementary School","=""1180311""","*",54,53,57,66,"*",53,0,0,0,0,0,0,0,332
,,"Scotland Elementary School","=""1180511""","*",61,"*",59,57,60,59,0,0,0,0,0,0,0,353
,,"Veterans Park Elementary School","=""1180211""","*","*",44,50,44,49,59,0,0,0,0,0,0,0,277
,,"District Program BMES","=""1180111""",0,"*",0,0,0,0,0,0,0,0,0,0,0,0,"*"
,,"Farmingville Elementary School","=""1180411""",0,39,54,35,52,52,59,0,0,0,0,0,0,0,291
,,"District Program RES","=""1180711""",0,0,"*","*",0,0,"*",0,0,0,0,0,0,0,7
,,"District Program SES","=""1180911""",0,0,0,"*",0,0,0,0,0,0,0,0,0,0,"*"
,,"District Program SRMS","=""1181111""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,6
,,"East Ridge Middle School","=""1185111""",0,0,0,0,0,0,0,197,191,253,0,0,0,0,641
,,"Scotts Ridge Middle School","=""1185211""",0,0,0,0,0,0,0,199,183,170,0,0,0,0,552
,,"District Program ERMS","=""1181011""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,"*"
,,"Alternative High School","=""1188011""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",11
,,"Ridgefield High School","=""1186111""",0,0,0,0,0,0,0,0,0,0,399,429,390,400,1618
,,"Ridgefield 18-21 Transition Program","=""1189011""",0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",18,94,92,99,104,108,93,0,0,0,0,0,0,0,608
,,"West Hill School","=""1190511""",41,122,121,116,155,122,85,0,0,0,0,0,0,0,762
,,"Albert D. Griswold Middle School","=""1195111""",0,0,0,0,0,0,40,188,197,197,0,0,0,0,622
,,"Pathways","=""1190311""",0,0,0,0,0,0,0,0,"*",0,0,0,"*","*",7
,,"Rocky Hill High School","=""1196111""",0,0,0,0,0,0,0,0,0,0,169,198,183,191,741
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",14,40,34,45,44,44,37,42,52,61,0,0,0,0,413
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",20,36,33,20,35,30,28,32,24,29,0,0,0,0,287
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",12,17,14,12,14,12,13,11,0,0,0,0,0,0,105
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",21,83,96,90,65,84,100,0,0,0,0,0,0,0,539
,,"Bungay School","=""1240111""",0,65,67,80,57,87,85,0,0,0,0,0,0,0,441
,,"Seymour Middle School","=""1245111""",0,0,0,0,0,0,0,184,166,174,0,0,0,0,524
,,"Seymour High School","=""1246111""",0,0,0,0,0,0,0,0,0,0,155,175,155,175,660
"Shelton School District","=""1260011""","Mohegan School","=""1260911""",25,59,52,57,54,56,0,0,0,0,0,0,0,0,303
,,"Booth Hill School","=""1261011""","*",69,"*",68,72,81,0,0,0,0,0,0,0,0,345
,,"Elizabeth Shelton School","=""1260511""","*",85,99,101,"*",98,0,0,0,0,0,0,0,0,470
,,"Long Hill School","=""1260811""","*",77,"*",84,79,74,0,0,0,0,0,0,0,0,378
,,"Pre-Kindergarten","=""1260111""",23,0,0,0,0,0,0,0,0,0,0,0,0,0,23
,,"Sunnyside School","=""1260611""","*",53,"*",39,43,48,0,0,0,0,0,0,0,0,226
,,"Alternative Learning Center 2","=""1261311""",0,7,"*","*",0,0,0,0,0,0,0,0,0,0,9
,,"Life Skills","=""1260311""",0,"*",0,"*","*",0,0,0,0,0,0,0,0,0,"*"
,,"Therapeutic Learning Center","=""1261211""",0,"*",0,"*",0,"*",0,0,0,0,0,0,0,0,7
,,"Alternative Learning Center 1","=""1260211""",0,0,"*","*","*",0,0,0,0,0,0,0,0,0,6
,,"Perry Hill Elementary School","=""1261111""",0,0,0,0,0,0,348,381,0,0,0,0,0,0,729
,,"Intermediate School","=""1265111""",0,0,0,0,0,0,0,0,372,398,0,0,0,0,770
,,"Shelton High School","=""1266111""",0,0,0,0,0,0,0,0,0,0,336,342,374,349,1401
,,"Transition Program","=""1260711""",0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
"Sherman School District","=""1270011""","Sherman School","=""1270111""",14,26,17,25,29,34,28,30,42,34,0,0,0,0,279
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",38,22,22,23,21,24,21,22,20,23,0,0,0,0,236
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",43,73,77,91,80,82,86,91,0,0,0,0,0,0,623
,,"Central School","=""1280111""",0,47,58,53,44,65,46,64,0,0,0,0,0,0,377
,,"Latimer Lane School","=""1280611""",0,57,61,66,46,56,63,57,0,0,0,0,0,0,406
,,"Tariffville School","=""1280311""",0,31,36,37,33,39,37,35,0,0,0,0,0,0,248
,,"Tootin' Hills School","=""1280411""",0,60,51,43,46,51,53,66,0,0,0,0,0,0,370
,,"Henry James Memorial School","=""1285111""",0,0,0,0,0,0,0,0,300,306,0,0,0,0,606
,,"Simsbury High School","=""1286111""",0,0,0,0,0,0,0,0,0,0,340,335,361,356,1392
,,"Farmington Valley Transition Academy","=""1280211""",0,0,0,0,0,0,0,0,0,0,0,0,0,37,37
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",38,85,96,87,87,101,82,0,0,0,0,0,0,0,576
,,"Mabelle B. Avery Middle School","=""1295111""",0,0,0,0,0,0,0,100,124,112,0,0,0,0,336
,,"Somers High School","=""1296111""",0,0,0,0,0,0,0,0,0,0,116,115,104,124,459
,,"Aspire","=""1290511""",0,0,0,0,0,0,0,0,0,0,0,"*","*","*","*"
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""","*","*",66,65,71,78,98,0,0,0,0,0,0,0,443
,,"Orchard Hill School","=""1320611""","*",102,101,107,104,"*",101,0,0,0,0,0,0,0,616
